"id";"type_id";"class_id";"superfamily_id";"family_id"
434;3;11;463;425
435;3;11;195;426
436;3;11;296;427
437;3;11;297;428
438;2;5;298;429
439;1;16;299;430
440;2;5;300;431
441;2;5;301;432
442;2;5;302;433
443;1;16;303;434
444;1;1;304;435
445;1;2;35;436
446;2;8;144;437
447;2;7;139;438
449;2;6;116;152
450;2;8;306;439
451;2;7;307;440
452;2;6;308;441
453;3;11;309;442
454;3;11;309;443
455;2;5;312;444
